Prestador,Cliente,Atenciones
P13430,C183141,44
P13430,C78682,17
P14233,C680071,17
P1085,C71145,15
P5018608,C431622,15
P6860,C1169666,14
P1265,C830200,12
P17679,C58301544,12
P5086883,C5563380,12
P2403,C784035,10
P1032,C1259037,9
P8104,C145974,9
P11930,C58333748,9
P13430,C1169666,9
P18327,C20155487,9
P1175,C68999,8
P2275,C535349,8
P7100,C454643,8
P7583,C740552,8
P18327,C1219153,8
P5085679,C5136727,8
P5086308,C1260914,8
P5093574,C58312456,8
P1022,C378028,7
P1167,C58290988,7
P2303,C20227594,7
P2454,C784035,7
P3387,C436529,7
P4110,C461538,7
P4193,C1030745,7
P51908,C58320255,7
P5084059,C1310768,7
P5085679,C183141,7
P5085679,C521008,7
P5085711,C186973,7
P5085971,C857257,7
P5086064,C864147,7
P5092579,C1167587,7
P751,C58321553,6
P1063,C58745020,6
P1527,C570651,6
P2009,C58321553,6
P2604,C78682,6
P2604,C1169666,6
P2794,C793036,6
P5166,C20227594,6
P5346,C609863,6
P6393,C58317805,6
P9905,C880077,6
P11560,C535349,6
P12294,C95277,6
P51989,C5470798,6
P5018608,C431617,6
P5085163,C396539,6
P5085679,C78682,6
P5085679,C987877,6
P5087896,C145974,6
P481,C20155487,5
P789,C69070,5
P880,C5195108,5
P889,C508460,5
P912,C63706,5
P1018,C396521,5
P1660,C117773,5
P2316,C573419,5
P2568,C355973,5
P2637,C1305442,5
P2714,C145974,5
P3790,C58300484,5
P4003,C76147,5
P6880,C58325948,5
P16584,C58278832,5
P17228,C58294760,5
P5018383,C606114,5
P5044959,C71145,5
P5082324,C5296994,5
P5085679,C98623,5
P5085679,C1016578,5
P5085679,C58321539,5
P5086308,C58295318,5
P5087155,C110254,5
P5087265,C1066402,5
P5093574,C538338,5
P463,C77355,4
P470,C183141,4
P530,C572539,4
P544,C58292277,4
P667,C1257665,4
P676,C810256,4
P762,C65377,4
P843,C476151,4
P894,C1171845,4
P936,C78042,4
P967,C78682,4
P967,C474150,4
P1019,C471208,4
P1022,C95289,4
P1032,C64018,4
P1032,C756588,4
P1032,C58278832,4
P1136,C58302238,4
P1195,C532002,4
P1517,C108880,4
P1517,C1055918,4
P1856,C1275687,4
P1918,C854226,4
P2246,C58317256,4
P2399,C1275687,4
P2598,C58341689,4
P2637,C476151,4
P2703,C117773,4
P2704,C58301580,4
P2714,C830200,4
P3873,C58339056,4
P5809,C117775,4
P6860,C183141,4
P7100,C1010098,4
P8014,C20155487,4
P8236,C1199939,4
P8236,C1335854,4
P8452,C740552,4
P8644,C830200,4
P9022,C851615,4
P10503,C5286513,4
P11590,C58317805,4
P11778,C77355,4
P12326,C58279011,4
P13104,C7105006,4
P17147,C538338,4
P17152,C1280554,4
P17216,C117775,4
P51914,C1056903,4
P54329,C58307289,4
P64392,C7038337,4
P5019688,C429609,4
P5045607,C137618,4
P5083125,C864147,4
P5083407,C851856,4
P5084364,C58743968,4
P5084378,C517982,4
P5085000,C944220,4
P5085492,C58290988,4
P5085679,C537971,4
P5085679,C537972,4
P5085679,C555221,4
P5085679,C661059,4
P5085679,C1273717,4
P5085679,C58301749,4
P5085679,C58317804,4
P5087379,C730436,4
P5088785,C80684,4
P5091064,C917106,4
P5091185,C733322,4
P5091629,C143574,4
P5092639,C737075,4
P5094750,C80806,4
P5094863,C521008,4
P5094863,C58317804,4
P442,C796046,3
P505,C501724,3
P584,C20028924,3
P637,C71526,3
P685,C185888,3
P689,C80684,3
P741,C654107,3
P744,C764137,3
P817,C796046,3
P838,C118747,3
P843,C71526,3
P867,C145974,3
P874,C796046,3
P888,C735875,3
P899,C80806,3
P910,C364733,3
P924,C95289,3
P925,C532103,3
P936,C58321114,3
P956,C64018,3
P964,C471208,3
P1004,C179818,3
P1013,C58292630,3
P1025,C651224,3
P1032,C628594,3
P1032,C1276875,3
P1069,C1174752,3
P1108,C77355,3
P1108,C117773,3
P1265,C68999,3
P1517,C476151,3
P1772,C574022,3
P1883,C58324016,3
P1898,C1157465,3
P1908,C1219153,3
P2009,C654110,3
P2258,C804939,3
P2303,C1059224,3
P2316,C1059224,3
P2467,C485238,3
P2612,C1168457,3
P2794,C58301580,3
P3442,C1090581,3
P3462,C784035,3
P4110,C5210994,3
P4193,C5502465,3
P4443,C5531321,3
P4728,C1202003,3
P5112,C806131,3
P5565,C194779,3
P7097,C549670,3
P7583,C1205941,3
P7939,C1035954,3
P10668,C428109,3
P12718,C98623,3
P13104,C1161028,3
P14712,C1326875,3
P14809,C58290988,3
P14809,C58296060,3
P15295,C651224,3
P15295,C58321539,3
P17147,C538334,3
P50589,C5021073,3
P51040,C5334312,3
P51914,C98623,3
P53616,C58307289,3
P59635,C1205830,3
P63982,C58307289,3
P5018378,C117773,3
P5018608,C651224,3
P5018608,C704727,3
P5045070,C764137,3
P5045076,C1035954,3
P5045580,C868887,3
P5045592,C535349,3
P5045727,C58301580,3
P5045901,C1174752,3
P5084378,C58345030,3
P5084534,C1016572,3
P5084534,C7091568,3
P5085273,C1003358,3
P5085677,C733322,3
P5085679,C63706,3
P5085679,C75752,3
P5085679,C104820,3
P5085679,C367844,3
P5085679,C383807,3
P5085679,C396539,3
P5085679,C454643,3
P5085679,C484800,3
P5085679,C574022,3
P5085679,C892656,3
P5085679,C949514,3
P5085679,C953625,3
P5085679,C983287,3
P5085679,C1004973,3
P5085679,C1059042,3
P5085679,C1123437,3
P5085679,C1169666,3
P5085679,C1199939,3
P5085679,C1258865,3
P5085679,C1268449,3
P5085679,C1272306,3
P5085679,C1273018,3
P5085679,C1273142,3
P5085679,C1335854,3
P5085679,C5187930,3
P5085679,C5296994,3
P5085679,C58279011,3
P5085679,C58307658,3
P5085679,C58308289,3
P5085679,C58333748,3
P5085679,C58336404,3
P5085679,C58337675,3
P5085679,C58339687,3
P5085842,C1168457,3
P5085971,C58301580,3
P5086308,C58292630,3
P5086856,C71526,3
P5087303,C58330732,3
P5087950,C58333748,3
P5088975,C680071,3
P5091059,C533859,3
P5092262,C5354932,3
P5092704,C194779,3
P5094986,C987877,3
P442,C538334,2
P442,C1247325,2
P463,C1168457,2
P470,C78682,2
P470,C375450,2
P470,C1169666,2
P493,C24650322,2
P530,C86118,2
P545,C108880,2
P561,C52640,2
P590,C69070,2
P634,C601493,2
P679,C1175716,2
P689,C79482,2
P691,C95285,2
P703,C461538,2
P709,C98623,2
P727,C948354,2
P737,C829555,2
P795,C58279011,2
P817,C95285,2
P832,C851615,2
P838,C383807,2
P840,C499025,2
P888,C378028,2
P894,C846177,2
P895,C77100,2
P899,C80805,2
P909,C58317804,2
P910,C431622,2
P912,C1169666,2
P929,C58317805,2
P930,C5279989,2
P936,C942822,2
P936,C8000526,2
P956,C58321553,2
P964,C65377,2
P964,C733322,2
P964,C1168457,2
P967,C917106,2
P967,C58306850,2
P998,C454643,2
P998,C58278832,2
P1004,C69070,2
P1011,C1175716,2
P1020,C754716,2
P1022,C95285,2
P1032,C58294760,2
P1033,C73325,2
P1033,C95285,2
P1034,C65377,2
P1045,C63706,2
P1051,C111450,2
P1051,C1056903,2
P1140,C95289,2
P1208,C20227594,2
P1252,C65377,2
P1252,C5531321,2
P1297,C561957,2
P1661,C58338723,2
P1675,C454643,2
P1681,C963734,2
P1768,C5149499,2
P1772,C117354,2
P1808,C76147,2
P1842,C830200,2
P1897,C58321539,2
P1937,C1233402,2
P2001,C78682,2
P2034,C117773,2
P2051,C108880,2
P2152,C482617,2
P2152,C793036,2
P2281,C71145,2
P2326,C58289306,2
P2408,C58345030,2
P2415,C1157465,2
P2428,C566091,2
P2438,C76511,2
P2452,C5210994,2
P2467,C71145,2
P2467,C58338489,2
P2482,C804939,2
P2568,C95285,2
P2593,C747884,2
P2604,C183141,2
P2604,C423445,2
P2612,C756588,2
P2704,C756588,2
P2704,C846177,2
P2704,C58317256,2
P2704,C58336406,2
P2706,C58321553,2
P2714,C963734,2
P2794,C79254,2
P2794,C95276,2
P2809,C949514,2
P2813,C20227594,2
P2879,C58317804,2
P2947,C1139899,2
P3006,C5296994,2
