QVD.LR04.numero-convenio;QVD.LR02.persona-numero;count(distinct[QVD.LR02.CruceLR02])
13430;183141;44
13430;78682;17
14233;680071;17
1085;71145;15
5018608;431622;15
6860;1169666;14
1265;830200;12
17679;58301544;12
5086883;5563380;12
2403;784035;10
1032;1259037;9
8104;145974;9
11930;58333748;9
13430;1169666;9
18327;20155487;9
1175;68999;8
2275;535349;8
7100;454643;8
7583;740552;8
18327;1219153;8
5085679;5136727;8
5086308;1260914;8
5093574;58312456;8
1022;378028;7
1167;58290988;7
2303;20227594;7
2454;784035;7
3387;436529;7
4110;461538;7
4193;1030745;7
51908;58320255;7
5084059;1310768;7
5085679;183141;7
5085679;521008;7
5085711;186973;7
5085971;857257;7
5086064;864147;7
5092579;1167587;7
751;58321553;6
1063;58745020;6
1527;570651;6
2009;58321553;6
2604;78682;6
2604;1169666;6
2794;793036;6
5166;20227594;6
5346;609863;6
6393;58317805;6
9905;880077;6
11560;535349;6
12294;95277;6
51989;5470798;6
5018608;431617;6
5085163;396539;6
5085679;78682;6
5085679;987877;6
5087896;145974;6
481;20155487;5
789;69070;5
880;5195108;5
889;508460;5
912;63706;5
1018;396521;5
1660;117773;5
2316;573419;5
2568;355973;5
2637;1305442;5
2714;145974;5
3790;58300484;5
4003;76147;5
6880;58325948;5
16584;58278832;5
17228;58294760;5
5018383;606114;5
5044959;71145;5
5082324;5296994;5
5085679;98623;5
5085679;1016578;5
5085679;58321539;5
5086308;58295318;5
5087155;110254;5
5087265;1066402;5
5093574;538338;5
463;77355;4
470;183141;4
530;572539;4
544;58292277;4
667;1257665;4
676;810256;4
762;65377;4
843;476151;4
894;1171845;4
936;78042;4
967;78682;4
967;474150;4
1019;471208;4
1022;95289;4
1032;64018;4
1032;756588;4
1032;58278832;4
1136;58302238;4
1195;532002;4
1517;108880;4
1517;1055918;4
1856;1275687;4
1918;854226;4
2246;58317256;4
2399;1275687;4
2598;58341689;4
2637;476151;4
2703;117773;4
2704;58301580;4
2714;830200;4
3873;58339056;4
5809;117775;4
6860;183141;4
7100;1010098;4
8014;20155487;4
8236;1199939;4
8236;1335854;4
8452;740552;4
8644;830200;4
9022;851615;4
10503;5286513;4
11590;58317805;4
11778;77355;4
12326;58279011;4
13104;7105006;4
17147;538338;4
17152;1280554;4
17216;117775;4
51914;1056903;4
54329;58307289;4
64392;7038337;4
5019688;429609;4
5045607;137618;4
5083125;864147;4
5083407;851856;4
5084364;58743968;4
5084378;517982;4
5085000;944220;4
5085492;58290988;4
5085679;537971;4
5085679;537972;4
5085679;555221;4
5085679;661059;4
5085679;1273717;4
5085679;58301749;4
5085679;58317804;4
5087379;730436;4
5088785;80684;4
5091064;917106;4
5091185;733322;4
5091629;143574;4
5092639;737075;4
5094750;80806;4
5094863;521008;4
5094863;58317804;4
442;796046;3
505;501724;3
584;20028924;3
637;71526;3
685;185888;3
689;80684;3
741;654107;3
744;764137;3
817;796046;3
838;118747;3
843;71526;3
867;145974;3
874;796046;3
888;735875;3
899;80806;3
910;364733;3
924;95289;3
925;532103;3
936;58321114;3
956;64018;3
964;471208;3
1004;179818;3
1013;58292630;3
1025;651224;3
1032;628594;3
1032;1276875;3
1069;1174752;3
1108;77355;3
1108;117773;3
1265;68999;3
1517;476151;3
1772;574022;3
1883;58324016;3
1898;1157465;3
1908;1219153;3
2009;654110;3
2258;804939;3
2303;1059224;3
2316;1059224;3
2467;485238;3
2612;1168457;3
2794;58301580;3
3442;1090581;3
3462;784035;3
4110;5210994;3
4193;5502465;3
4443;5531321;3
4728;1202003;3
5112;806131;3
5565;194779;3
7097;549670;3
7583;1205941;3
7939;1035954;3
10668;428109;3
12718;98623;3
13104;1161028;3
14712;1326875;3
14809;58290988;3
14809;58296060;3
15295;651224;3
15295;58321539;3
17147;538334;3
50589;5021073;3
51040;5334312;3
51914;98623;3
53616;58307289;3
59635;1205830;3
63982;58307289;3
5018378;117773;3
5018608;651224;3
5018608;704727;3
5045070;764137;3
5045076;1035954;3
5045580;868887;3
5045592;535349;3
5045727;58301580;3
5045901;1174752;3
5084378;58345030;3
5084534;1016572;3
5084534;7091568;3
5085273;1003358;3
5085677;733322;3
5085679;63706;3
5085679;75752;3
5085679;104820;3
5085679;367844;3
5085679;383807;3
5085679;396539;3
5085679;454643;3
5085679;484800;3
5085679;574022;3
5085679;892656;3
5085679;949514;3
5085679;953625;3
5085679;983287;3
5085679;1004973;3
5085679;1059042;3
5085679;1123437;3
5085679;1169666;3
5085679;1199939;3
5085679;1258865;3
5085679;1268449;3
5085679;1272306;3
5085679;1273018;3
5085679;1273142;3
5085679;1335854;3
5085679;5187930;3
5085679;5296994;3
5085679;58279011;3
5085679;58307658;3
5085679;58308289;3
5085679;58333748;3
5085679;58336404;3
5085679;58337675;3
5085679;58339687;3
5085842;1168457;3
5085971;58301580;3
5086308;58292630;3
5086856;71526;3
5087303;58330732;3
5087950;58333748;3
5088975;680071;3
5091059;533859;3
5092262;5354932;3
5092704;194779;3
5094986;987877;3
442;538334;2
442;1247325;2
463;1168457;2
470;78682;2
470;375450;2
470;1169666;2
493;24650322;2
530;86118;2
545;108880;2
561;52640;2
590;69070;2
634;601493;2
679;1175716;2
689;79482;2
691;95285;2
703;461538;2
709;98623;2
727;948354;2
737;829555;2
795;58279011;2
817;95285;2
832;851615;2
838;383807;2
840;499025;2
888;378028;2
894;846177;2
895;77100;2
899;80805;2
909;58317804;2
910;431622;2
912;1169666;2
929;58317805;2
930;5279989;2
936;942822;2
936;8000526;2
956;58321553;2
964;65377;2
964;733322;2
964;1168457;2
967;917106;2
967;58306850;2
998;454643;2
998;58278832;2
1004;69070;2
1011;1175716;2
1020;754716;2
1022;95285;2
1032;58294760;2
1033;73325;2
1033;95285;2
1034;65377;2
1045;63706;2
1051;111450;2
1051;1056903;2
1140;95289;2
1208;20227594;2
1252;65377;2
1252;5531321;2
1297;561957;2
1661;58338723;2
1675;454643;2
1681;963734;2
1768;5149499;2
1772;117354;2
1808;76147;2
1842;830200;2
1897;58321539;2
1937;1233402;2
2001;78682;2
2034;117773;2
2051;108880;2
2152;482617;2
2152;793036;2
2281;71145;2
2326;58289306;2
2408;58345030;2
2415;1157465;2
2428;566091;2
2438;76511;2
2452;5210994;2
2467;71145;2
2467;58338489;2
2482;804939;2
2568;95285;2
2593;747884;2
2604;183141;2
2604;423445;2
2612;756588;2
2704;756588;2
2704;846177;2
2704;58317256;2
2704;58336406;2
2706;58321553;2
2714;963734;2
2794;79254;2
2794;95276;2
2809;949514;2
2813;20227594;2
2879;58317804;2
2947;1139899;2
3006;5296994;2
3018;636358;2
3074;5296994;2
3236;117354;2
3236;391436;2
3236;20227594;2
3380;457763;2
3621;78042;2
3629;983287;2
3674;58321553;2
3762;784035;2
3762;1004973;2
3864;80805;2
3873;95285;2
3971;1202003;2
4003;1242017;2
4171;1258846;2
4333;183141;2
4333;1174752;2
4382;555215;2
4382;1310768;2
4445;63706;2
4445;878448;2
4770;69070;2
4779;537972;2
4867;58334215;2
4872;1161028;2
5079;5286513;2
5112;117775;2
5346;20227594;2
5482;1205830;2
5809;117773;2
5861;98623;2
5870;501724;2
6150;108880;2
6680;1272306;2
6942;1163887;2
6948;561243;2
7054;806131;2
7526;58294760;2
7583;740555;2
7613;1055918;2
7742;476151;2
8084;526107;2
8236;58303945;2
8640;20227594;2
8640;58279011;2
9244;80805;2
9255;572912;2
9457;454643;2
9577;8000526;2
9906;20227594;2
10503;654107;2
10741;857257;2
11099;7068188;2
11378;20213535;2
11588;1176929;2
11950;58312456;2
12024;804939;2
12088;383807;2
12284;58278230;2
13037;5109964;2
13104;122922;2
13104;963734;2
13104;1157466;2
13104;58293993;2
13538;948354;2
14635;95276;2
14635;95278;2
14635;95285;2
14635;95289;2
15019;1016573;2
15064;1323992;2
15064;5286513;2
15382;110254;2
15404;73649;2
15732;1027405;2
16105;1257665;2
16161;793036;2
16400;1219153;2
16501;5109964;2
16584;58753005;2
16678;86118;2
17547;476041;2
17762;58307387;2
18327;122922;2
18327;764137;2
51256;431622;2
52058;810256;2
55230;63706;2
57189;58307289;2
59635;747071;2
59635;5324868;2
65778;1273142;2
67684;5195108;2
69151;5195108;2
69214;58290988;2
69406;5195108;2
5018378;117775;2
5018743;1175716;2
5018743;1205830;2
5019482;143574;2
5044769;735875;2
5045183;58301544;2
