character,degree
"""Tyrion-Lannister""",122
"""Jon-Snow""",114
"""Jaime-Lannister""",101
"""Cersei-Lannister""",97
"""Stannis-Baratheon""",89
"""Arya-Stark""",84
"""Catelyn-Stark""",75
"""Sansa-Stark""",75
"""Robb-Stark""",74
"""Eddard-Stark""",74
"""Daenerys-Targaryen""",73
"""Joffrey-Baratheon""",69
"""Theon-Greyjoy""",66
"""Robert-Baratheon""",65
"""Bran-Stark""",54
"""Tywin-Lannister""",48
"""Petyr-Baelish""",47
"""Brienne-of-Tarth""",45
"""Samwell-Tarly""",44
"""Barristan-Selmy""",41
"""Renly-Baratheon""",38
"""Sandor-Clegane""",36
"""Varys""",34
"""Tommen-Baratheon""",33
"""Mance-Rayder""",33
"""Davos-Seaworth""",33
"""Gregor-Clegane""",33
"""Margaery-Tyrell""",30
"""Rodrik-Cassel""",30
"""Roose-Bolton""",28
"""Jeor-Mormont""",28
"""Loras-Tyrell""",28
"""Pycelle""",27
"""Jorah-Mormont""",26
"""Aemon-Targaryen-(Maester-Aemon)""",26
"""Asha-Greyjoy""",25
"""Bronn""",25
"""Lysa-Arryn""",24
"""Victarion-Greyjoy""",24
"""Edmure-Tully""",24
"""Janos-Slynt""",23
"""Mace-Tyrell""",23
"""Melisandre""",23
"""Ramsay-Snow""",23
"""Myrcella-Baratheon""",22
"""Hizdahr-zo-Loraq""",22
"""Ilyn-Payne""",22
"""Luwin""",22
"""Jory-Cassel""",21
"""Meryn-Trant""",21
"""Doran-Martell""",21
"""Drogo""",21
"""Eddison-Tollett""",20
"""Gendry""",20
"""Oberyn-Martell""",20
"""Robert-Arryn""",20
"""Amory-Lorch""",20
"""Arianne-Martell""",20
"""Aerys-II-Targaryen""",19
"""Brynden-Tully""",19
"""Quentyn-Martell""",19
"""Daario-Naharis""",19
"""Selyse-Florent""",19
"""Walder-Frey""",19
"""Yoren""",18
"""Osmund-Kettleblack""",18
"""Qyburn""",18
"""Rhaegar-Targaryen""",18
"""Beric-Dondarrion""",18
"""Bowen-Marsh""",18
"""Gyles-Rosby""",18
"""Rickon-Stark""",17
"""Jon-Arryn""",17
"""Kevan-Lannister""",17
"""Wyman-Manderly""",17
"""Jon-Connington""",16
"""Pypar""",16
"""Balon-Swann""",16
"""Aegon-Targaryen-(son-of-Rhaegar)""",15
"""Aeron-Greyjoy""",15
"""Alliser-Thorne""",15
"""Irri""",15
"""Lem""",15
"""Craster""",15
"""Grenn""",15
"""Tormund""",15
"""Viserys-Targaryen""",14
"""Gilly""",14
"""Benjen-Stark""",14
"""Boros-Blount""",14
"""Jon-Umber-(Greatjon)""",14
"""Polliver""",14
